song,song,second,valence_raw,arousal_raw,valence_filt,arousal_filt,euclidean_dist_mean
stimuli/10_pieceA_anxious_joy_calm,159,79.5,0.065554944,0.013248343,0.066502694,0.017987418,0.00222407
stimuli/10_pieceA_anxious_joy_calm,160,80,0.064910189,0.011640371,0.06652907,0.015763504,0.002180997
stimuli/10_pieceA_anxious_joy_calm,161,80.5,0.065775106,0.010344697,0.066402203,0.0135862,0.002026373
stimuli/10_pieceA_anxious_joy_calm,162,81,0.066208833,0.008899433,0.066260875,0.011564761,0.001822678
stimuli/10_pieceA_anxious_joy_calm,163,81.5,0.066249787,0.007763172,0.066057037,0.009753517,0.00154419
stimuli/10_pieceA_anxious_joy_calm,164,82,0.066061629,0.006250967,0.065817116,0.008228079,0.001393727
stimuli/10_pieceA_anxious_joy_calm,165,82.5,0.067975214,0.006631181,0.065593199,0.006852457,0.001186917
stimuli/10_pieceA_anxious_joy_calm,166,83,0.068791672,0.005787618,0.065445492,0.005674767,0.001060825
stimuli/10_pieceA_anxious_joy_calm,167,83.5,0.068869188,0.003474763,0.065334052,0.004619812,0.000917013
stimuli/10_pieceA_anxious_joy_calm,168,84,0.069070561,0.002395314,0.065254797,0.00370623,0.000650395
stimuli/10_pieceA_anxious_joy_calm,169,84.5,0.068944155,0.001725412,0.065257707,0.003055842,0.000591095
stimuli/10_pieceA_anxious_joy_calm,170,85,0.069521386,0.000573437,0.065333448,0.00246962,0.000578578
stimuli/10_pieceA_anxious_joy_calm,171,85.5,0.069897468,-0.041344148,0.065474155,0.001908412,0.000485286
stimuli/10_pieceA_anxious_joy_calm,172,86,0.066068883,-0.03603209,0.065739492,0.001502089,0.000462514
stimuli/10_pieceA_anxious_joy_calm,173,86.5,0.063442738,0.008540404,0.066108882,0.001223755,0.000498605
stimuli/10_pieceA_anxious_joy_calm,174,87,0.063541929,0.007720406,0.066572801,0.001041037,0.000631915
stimuli/10_pieceA_anxious_joy_calm,175,87.5,0.065766818,0.007911943,0.067198189,0.00095045,0.000713221
stimuli/10_pieceA_anxious_joy_calm,176,88,0.067902395,0.007594094,0.067908262,0.00101739,0.001031799
stimuli/10_pieceA_anxious_joy_calm,177,88.5,0.068254793,0.007384535,0.068928585,0.001170849,0.000454018
stimuli/10_pieceA_anxious_joy_calm,178,89,0.068663703,0.006262306,0.069362656,0.001303945,0.000522813
stimuli/10_pieceA_anxious_joy_calm,179,89.5,0.068899473,0.008103743,0.069879714,0.001381305,0.000652895
stimuli/10_pieceA_anxious_joy_calm,180,90,0.069296786,0.006866166,0.070521699,0.001500162,0.00074884
stimuli/10_pieceA_anxious_joy_calm,181,90.5,0.06979538,0.006315497,0.071233619,0.001732394,0.001251603
stimuli/10_pieceA_anxious_joy_calm,182,91,0.071784636,0.005187565,0.072460637,0.001979246,0.000848477
stimuli/10_pieceA_anxious_joy_calm,183,91.5,0.074065715,0.003978545,0.073287253,0.002170608,0.00034812
stimuli/10_pieceA_anxious_joy_calm,184,92,0.07684079,0.001576027,0.073621122,0.002269193,0.000523431
stimuli/10_pieceA_anxious_joy_calm,185,92.5,0.076521471,0.00066101,0.074103506,0.002472381,0.000618725
stimuli/10_pieceA_anxious_joy_calm,186,93,0.076381613,-0.00076923,0.074687566,0.002676573,0.000706213
stimuli/10_pieceA_anxious_joy_calm,187,93.5,0.077761121,-0.00137906,0.075364263,0.002878608,0.000753194
stimuli/10_pieceA_anxious_joy_calm,188,94,0.077706885,-0.00229755,0.076096029,0.00305699,0.000792195
stimuli/10_pieceA_anxious_joy_calm,189,94.5,0.077201579,0.000938285,0.07688104,0.003163434,0.000830047
stimuli/10_pieceA_anxious_joy_calm,190,95,0.07688823,0.000239479,0.077710762,0.003140197,0.000787364
stimuli/10_pieceA_anxious_joy_calm,191,95.5,0.07848088,0.000989902,0.07846036,0.002899272,0.000857307
stimuli/10_pieceA_anxious_joy_calm,192,96,0.078840824,0.000914541,0.079182661,0.002437475,0.00091636
stimuli/10_pieceA_anxious_joy_calm,193,96.5,0.078973406,0.000425795,0.079803365,0.001763352,0.00110141
stimuli/10_pieceA_anxious_joy_calm,194,97,0.079805697,0.00222636,0.080359303,0.000812543,0.001255563
stimuli/10_pieceA_anxious_joy_calm,195,97.5,0.079738011,0.002052856,0.080823863,-0.000353914,0.001396518
stimuli/10_pieceA_anxious_joy_calm,196,98,0.079357539,0.000603546,0.081168077,-0.001707346,0.000441567
stimuli/10_pieceA_anxious_joy_calm,197,98.5,0.079075761,0.000351242,0.081406507,-0.001335684,0.00088286
stimuli/10_pieceA_anxious_joy_calm,198,99,0.079269628,-0.000618977,0.081698629,-0.000502553,0.000470281
stimuli/10_pieceA_anxious_joy_calm,199,99.5,0.079472055,-0.001088853,0.082010287,-0.000854737,0.000454044
stimuli/10_pieceA_anxious_joy_calm,200,100,0.081038421,-0.001158296,0.082259991,-0.001233952,0.000430537
stimuli/10_pieceA_anxious_joy_calm,201,100.5,0.083675974,0.000566381,0.082462594,-0.001613839,0.000370534
stimuli/10_pieceA_anxious_joy_calm,202,101,0.094044179,0.000564197,0.082602832,-0.00195681,0.000338521
