"","Participant.Public.ID","happy","satisfied","excited","joyful","relaxed","stim","condition"
"415","31711","","","","","","Rocks 1.jpg","pic"
"416","31711","5","3","4","2","1","Flood 1.jpg","pic"
"417","30475","","","","","","Rocks 1.jpg","pic"
"418","30475","0","10","0","0","20","Prison 2.jpg","pic"
"419","30475","","","","","","Ferret 1.jpg","pic"
"420","30475","5","10","20","10","0","Fireworks 6.jpg","pic"
"421","30475","","","","","","Beach 1.jpg","pic"
"422","30475","0","20","0","5","30","Snow 1.jpg","pic"
"423","30475","","","","","","Lake 12.jpg","pic"
"424","30475","0","0","0","0","0","Rainbow 2.jpg","pic"
"425","30475","","","","","","Clean 1.jpg","pic"
"426","30475","0","0","0","0","0","Garbage dump 1.jpg","pic"
"427","30475","","","","","","Destruction 2.jpg","pic"
"428","30475","0","0","0","0","5","Fire 10.jpg","pic"
"429","30475","","","","","","Dirt 1.jpg","pic"
"430","30475","0","0","0","0","0","Toilet 4.jpg","pic"
"431","30475","","","","","","Flood 1.jpg","pic"
"432","30475","0","0","0","0","0","Heart 3.jpg","pic"
"433","30475","","","","","","Heart 3.jpg","pic"
"434","30475","0","15","0","5","15","Destruction 2.jpg","pic"
"435","30475","","","","","","Lake 12.jpg","pic"
"436","30475","5","5","0","5","10","Snow 1.jpg","pic"
"437","30475","","","","","","Toilet 4.jpg","pic"
"438","30475","0","10","0","0","20","Rainbow 2.jpg","pic"
"439","30475","","","","","","Clean 1.jpg","pic"
"440","30475","0","0","0","0","0","Ferret 1.jpg","pic"
"441","30475","","","","","","Prison 2.jpg","pic"
"442","30475","0","0","0","0","0","Fireworks 6.jpg","pic"
"443","30475","","","","","","Flood 1.jpg","pic"
"444","30475","0","0","0","0","0","Rocks 1.jpg","pic"
"445","30475","","","","","","Beach 1.jpg","pic"
"446","30475","15","40","10","10","30","Garbage dump 1.jpg","pic"
"447","30475","","","","","","Dirt 1.jpg","pic"
"448","30475","0","10","5","15","20","Fire 10.jpg","pic"
"449","30880","","","","","","Prison 2.jpg","pic"
"450","30880","25","54","26","12","57","Ferret 1.jpg","pic"
"451","30880","","","","","","Heart 3.jpg","pic"
"452","30880","0","0","0","0","0","Dirt 1.jpg","pic"
"453","30880","","","","","","Flood 1.jpg","pic"
"454","30880","44","37","64","53","10","Rainbow 2.jpg","pic"
"455","30880","","","","","","Toilet 4.jpg","pic"
"456","30880","47","38","58","75","0","Lake 12.jpg","pic"
"457","30880","","","","","","Fire 10.jpg","pic"
"458","30880","39","19","11","12","0","Beach 1.jpg","pic"
"459","30880","","","","","","Destruction 2.jpg","pic"
"460","30880","0","0","0","0","0","Clean 1.jpg","pic"
"461","30880","","","","","","Rocks 1.jpg","pic"
"462","30880","48","56","53","65","42","Fireworks 6.jpg","pic"
"463","30880","","","","","","Garbage dump 1.jpg","pic"
"464","30880","76","78","57","83","94","Snow 1.jpg","pic"
"465","30880","","","","","","Rainbow 2.jpg","pic"
"466","30880","0","0","0","0","0","Ferret 1.jpg","pic"
"467","30880","","","","","","Fireworks 6.jpg","pic"
"468","30880","0","0","0","0","0","Beach 1.jpg","pic"
"469","30880","","","","","","Dirt 1.jpg","pic"
"470","30880","0","0","0","0","0","Prison 2.jpg","pic"
"471","30880","","","","","","Fire 10.jpg","pic"
"472","30880","0","0","0","0","0","Lake 12.jpg","pic"
"473","30880","","","","","","Garbage dump 1.jpg","pic"
"474","30880","37","16","44","22","28","Flood 1.jpg","pic"
"475","30880","","","","","","Toilet 4.jpg","pic"
"476","30880","0","0","0","0","0","Destruction 2.jpg","pic"
"477","30880","","","","","","Snow 1.jpg","pic"
"478","30880","0","0","0","0","0","Heart 3.jpg","pic"
"479","30880","","","","","","Clean 1.jpg","pic"
"480","30880","90","76","72","69","68","Rocks 1.jpg","pic"
"481","32848","","","","","","Flood 1.jpg","pic"
"482","32848","75","95","80","75","85","Lake 12.jpg","pic"
"483","32848","","","","","","Clean 1.jpg","pic"
"484","32848","10","0","4","6","4","Prison 2.jpg","pic"
"485","32848","","","","","","Fire 10.jpg","pic"
"486","32848","61","65","49","68","77","Snow 1.jpg","pic"
"487","32848","","","","","","Garbage dump 1.jpg","pic"
