"","ID","negmusicICC","posmusicICC","negpicICC","pospicICC","negICC","posICC","allmusicICC","allpicICC"
"95","65e64c08cd1bf3d6ab957af7",-0.402607039592425,-1.04283935660955,-1.30536323241077,-1.64942813566683,-0.938077062141892,-1.34288170317233,-0.722723198100986,-1.4773956840388
"96","660c9fe7b2e6bf22bcc608b1",-0.648385435924582,-1.10132330704814,-1.40662097584698,-1.96076107124497,-1.60379156648055,-1.86457884537639,-0.874854371486363,-1.68369102354597
"97","66240955715b3b45903381ed",-0.235773368685542,-0.963937036214819,-1.02663789436932,-1.27153994795792,-0.826630410452472,-1.15835248535361,-0.59985520245018,-1.14908892116362
"98","66293a86e40515e886439323",-0.10932462871585,-0.76141238815612,-1.61536443275485,-1.85392316906489,-1.43301957771847,-1.39602753318372,-0.435368508435985,-1.73464380090987
"99","66294149f5c3cf16d5ebfd5e",-0.782051624961086,-0.640496249445236,-1.85523294459573,-1.8325653641639,-1.33310945224077,-1.31778623814973,-0.711273937203161,-1.84389915437982
"100","662d7fba32d6a738b194d893",-1.19521794264394,-1.98090759986003,-2.26135493921564,-2.23941599643387,-1.70099031277741,-2.08957809033094,-1.58806277125199,-2.25038546782475
"101","6631b0ab30153f0b76483e0a",-0.931650478131892,-1.92461154702763,-1.74941731197818,-2.61343941001521,-1.29582353885559,-2.20224759987134,-1.42813101257976,-2.18142836099669
"102","6633ee8ca35ae4b909110ee3",-0.659547197476029,-1.14941576791697,-1.01839708858662,-1.6075893384668,-0.931949772653806,-1.32198248309199,-0.9044814826965,-1.31299321352671
"103","6637b21240220c2517fffa1a",-1.33850911614778,-0.627282726158968,-1.09412505299764,-1.2167477744951,-1.22895898898743,-0.97536535070002,-0.982895921153372,-1.15543641374637
"104","663a5db9ced6c4bf9bd77d3e",-0.243220204791769,-0.517828898307562,-1.95095612225795,-2.17303205978967,-1.18802856505846,-1.37302987179797,-0.380524551549666,-2.06199409102381
"105","663d78724bf4501737f36653",-0.798881652089459,-1.24948707226611,-1.66035698686405,-1.96927506705978,-1.40922567201069,-1.64041641144263,-1.02418436217779,-1.81481602696191
"106","663dff19b292e4e2c5c11a1b",-1.02862186888298,-1.73927366407229,-1.42924321277153,-2.32971210079859,-1.27719854117796,-2.0474888403311,-1.38394776647764,-1.87947765678506
"107","663e4e95e7e0acca1b1cd005",-0.49003588666704,-1.19570934340491,-0.724391338209987,-1.48609320802839,-0.60823664451203,-1.39190714668008,-0.842872615035976,-1.10524227311919
"108","66465704f0921cfc20ba6e57",-1.04321907630072,-2.18108110896185,-1.12146497347235,-2.09724800160883,-1.0883087223804,-2.14043735330586,-1.61215009263128,-1.60935648754059
"109","665e0d4039fbf0b54bab1900",-1.19314532547453,-1.50545324260622,-1.71256549385751,-2.40276705677501,-1.54867780512655,-2.03003812526741,-1.34929928404037,-2.05766627531626
"110","665e26502758155528c8793e",-1.00774999924689,-0.838285030968905,-1.51436581963075,-1.50870719024003,-1.31842868553297,-1.26895688431279,-0.923017515107896,-1.51153650493539
"111","666883e7cd549b6798159085",-0.482273044503518,0,-1.06315593584808,-1.44012618546392,-0.799636191788878,-0.939015791992438,-0.241136522251759,-1.251641060656
