"","song","song.1","second","valence_raw","arousal_raw","valence_filt","arousal_filt","euclidean_dist_mean","start_time"
"1538","stimuli/5_pieceB_calm_sad_anxious",98,49,-0.015952762,-0.087661538,-0.022480566,-0.088014767,0.002839749,NA
"1539","stimuli/5_pieceB_calm_sad_anxious",99,49.5,-0.023500627,-0.08639884,-0.023233778,-0.08527673,0.002668325,NA
"1540","stimuli/5_pieceB_calm_sad_anxious",100,50,-0.023625825,-0.083698437,-0.02389542,-0.082691737,0.002443993,NA
"1541","stimuli/5_pieceB_calm_sad_anxious",101,50.5,-0.025478896,-0.081182886,-0.024442281,-0.080309712,0.002412375,NA
"1542","stimuli/5_pieceB_calm_sad_anxious",102,51,-0.025056497,-0.07845182,-0.024942922,-0.077949858,0.002015496,NA
"1543","stimuli/5_pieceB_calm_sad_anxious",103,51.5,-0.025565948,-0.076030941,-0.025324117,-0.075970738,0.001723994,NA
"1544","stimuli/5_pieceB_calm_sad_anxious",104,52,-0.027541423,-0.073399255,-0.02558762,-0.074267,0.001470245,NA
"1545","stimuli/5_pieceB_calm_sad_anxious",105,52.5,-0.028162143,-0.071963098,-0.026019616,-0.072861653,0.001203829,NA
"1546","stimuli/5_pieceB_calm_sad_anxious",106,53,-0.026624597,-0.070965096,-0.02646984,-0.071745184,0.00094127,NA
"1547","stimuli/5_pieceB_calm_sad_anxious",107,53.5,-0.02584241,-0.070355911,-0.026717486,-0.070837076,0.000722315,NA
"1548","stimuli/5_pieceB_calm_sad_anxious",108,54,-0.026266561,-0.069721383,-0.026927856,-0.070146074,0.00059539,NA
"1549","stimuli/5_pieceB_calm_sad_anxious",109,54.5,-0.027048982,-0.068600339,-0.027106709,-0.069578182,0.000472501,NA
"1550","stimuli/5_pieceB_calm_sad_anxious",110,55,-0.02785599,-0.06780146,-0.027231103,-0.069122349,0.000342784,NA
"1551","stimuli/5_pieceB_calm_sad_anxious",111,55.5,-0.027743509,-0.067616018,-0.027333513,-0.068795221,0.000249214,NA
"1552","stimuli/5_pieceB_calm_sad_anxious",112,56,-0.026984452,-0.066567223,-0.027429308,-0.068565154,0.000234765,NA
"1553","stimuli/5_pieceB_calm_sad_anxious",113,56.5,-0.027184808,-0.068332893,-0.027524186,-0.068350415,0.000288865,NA
"1554","stimuli/5_pieceB_calm_sad_anxious",114,57,-0.027823645,-0.069507053,-0.027605719,-0.068073295,0.000307173,NA
"1555","stimuli/5_pieceB_calm_sad_anxious",115,57.5,-0.026673089,-0.069650645,-0.027696563,-0.067779863,0.000144506,NA
"1556","stimuli/5_pieceB_calm_sad_anxious",116,58,-0.026772533,-0.069696869,-0.027784817,-0.067665437,0.000424327,NA
"1557","stimuli/5_pieceB_calm_sad_anxious",117,58.5,-0.028228903,-0.067841489,-0.028199416,-0.067755775,0.000556153,NA
"1558","stimuli/5_pieceB_calm_sad_anxious",118,59,-0.028779055,-0.067625247,-0.028745489,-0.067861181,0.000383174,NA
"1559","stimuli/5_pieceB_calm_sad_anxious",119,59.5,-0.028775587,-0.068113122,-0.029118331,-0.06794956,0.000401404,NA
"1560","stimuli/5_pieceB_calm_sad_anxious",120,60,-0.028360564,-0.071080492,-0.02949701,-0.068082703,0.000424315,NA
"1561","stimuli/5_pieceB_calm_sad_anxious",121,60.5,-0.029570852,-0.069751195,-0.029900761,-0.068213197,0.000419553,NA
"1562","stimuli/5_pieceB_calm_sad_anxious",122,61,-0.030127289,-0.068995645,-0.030295634,-0.068354972,0.000410505,NA
"1563","stimuli/5_pieceB_calm_sad_anxious",123,61.5,-0.030979871,-0.068258857,-0.030652552,-0.068557763,0.000802659,NA
"1564","stimuli/5_pieceB_calm_sad_anxious",124,62,-0.031631342,-0.068530917,-0.031437633,-0.068724825,7.66e-05,NA
