"","Participant.Public.ID","Response","Object.Name","Spreadsheet..Audio"
"195","TEAM_YA_030",20,"Happy Slider","5_pieceB_calm_sad_anxious_7.mp3"
"196","TEAM_YA_030",0,"Disgusted Slider","5_pieceB_calm_sad_anxious_7.mp3"
"197","TEAM_YA_030",0,"Sad Slider","5_pieceB_calm_sad_anxious_7.mp3"
"198","TEAM_YA_030",0,"Proud Slider","5_pieceB_calm_sad_anxious_7.mp3"
"199","TEAM_YA_030",10,"Scared Slider","5_pieceB_calm_sad_anxious_7.mp3"
"200","TEAM_YA_030",0,"Joyful Slider","5_pieceB_calm_sad_anxious_7.mp3"
"201","TEAM_YA_030",10,"Anxious Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"202","TEAM_YA_030",25,"Relaxed Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"203","TEAM_YA_030",0,"Angry Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"204","TEAM_YA_030",25,"Excited Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"205","TEAM_YA_030",0,"Happy Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"206","TEAM_YA_030",0,"Disgusted Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"207","TEAM_YA_030",20,"Sad Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"208","TEAM_YA_030",0,"Proud Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"209","TEAM_YA_030",0,"Scared Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"210","TEAM_YA_030",0,"Joyful Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"211","TEAM_YA_030",20,"Anxious Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"212","TEAM_YA_030",15,"Relaxed Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"213","TEAM_YA_030",0,"Angry Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"214","TEAM_YA_030",60,"Excited Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"215","TEAM_YA_030",40,"Happy Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"216","TEAM_YA_030",0,"Disgusted Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"217","TEAM_YA_030",0,"Sad Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"218","TEAM_YA_030",30,"Proud Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"219","TEAM_YA_030",15,"Scared Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"220","TEAM_YA_030",50,"Joyful Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"221","TEAM_YA_030",33,"Anxious Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"222","TEAM_YA_030",0,"Relaxed Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"223","TEAM_YA_030",5,"Angry Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"224","TEAM_YA_030",40,"Excited Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"225","TEAM_YA_030",25,"Happy Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"226","TEAM_YA_030",0,"Disgusted Slider","6_pieceB_anxious_calm_joyous_5.mp3"
